test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time
incremental,small_trace,49,1715626541,0,0.000766,0.000419,0.0160722,0.0290589
incremental,small_trace,50,1760607843,0,0.000577,0.000577,0.0164099,0.0754033
incremental,small_trace,51,2018378034,0,0.000598,0.000598,0.0162557,0.115515
incremental,small_trace,52,2100114435,0,0.000562,0.000562,0.0166835,0.0556149
incremental,small_trace,53,2100114997,0,0.00096,0.000591,0.0165256,0.0335476
incremental,small_trace,54,2100115588,0,0.001104,0.000601,0.0164627,0.0338648
incremental,small_trace,55,2122978330,0,0.000587,0.000587,0.0162911,0.0463004
incremental,small_trace,56,2122978917,0,0.001154,0.000595,0.0167301,0.0312744
incremental,small_trace,57,2135463181,0,0.000441,0.000441,0.0165491,0.0338931
incremental,small_trace,58,2135463622,0,0.000855,0.00056,0.0162056,0.0290646
incremental,small_trace,59,2135464182,0,0.001085,0.000616,0.0167799,0.0321523
incremental,small_trace,60,2135464798,0,0.001082,0.000731,0.0166025,0.0306179
incremental,small_trace,61,2135465529,0,0.001224,0.000668,0.0168235,0.0326182
incremental,small_trace,62,2135466197,0,0.001001,0.000539,0.0168035,0.0325476
incremental,small_trace,63,2135466736,0,0.001078,0.000841,0.0168773,0.030364
incremental,small_trace,64,2135467577,0,0.001337,0.000633,0.0167043,0.0279304
incremental,small_trace,65,2140221305,0,0.000588,0.000588,0.0170056,0.0281572
incremental,small_trace,66,2140221893,0,0.001308,0.000754,0.0171401,0.0363616
incremental,small_trace,67,2140222647,0,0.001399,0.000669,0.0170616,0.0354186
incremental,small_trace,68,2149856512,0,0.000589,0.000589,0.0169748,0.0814917
incremental,small_trace,69,2149857101,0,0.001318,0.000762,0.0172068,0.0390727
incremental,small_trace,70,2149857863,0,0.001291,0.0007,0.017072,0.031721
incremental,small_trace,71,2175430886,0,0.000624,0.000624,0.0170488,0.0487641
incremental,small_trace,72,2175431510,0,0.00114,0.000538,0.0170342,0.0381145
incremental,small_trace,73,2175432048,0,0.001248,0.00079,0.0173096,0.0358917
incremental,small_trace,74,2175432838,0,0.002012,0.001291,0.0181948,0.0430199
incremental,small_trace,75,2175434129,0,0.001763,0.000589,0.0171265,0.0274212
incremental,small_trace,76,2199343200,0,0.000591,0.000591,0.0169791,0.0674106
incremental,small_trace,77,2199343791,0,0.000954,0.000519,0.0171982,0.0305467
incremental,small_trace,78,2199344310,0,0.001118,0.000622,0.0172908,0.0363437
incremental,small_trace,79,2199344942,0,0.000576,0.000576,0.0171365,0.0300729
incremental,small_trace,80,2199345518,0,0.000869,0.000681,0.0174015,0.0301858
incremental,small_trace,81,2199346199,0,0.001245,0.000758,0.0175419,0.0346635
incremental,small_trace,82,2199346957,0,0.001059,0.000682,0.0173051,0.0318729
incremental,small_trace,83,2199347639,0,0.001028,0.000535,0.0173605,0.0277207
incremental,small_trace,84,2211808788,0,0.000652,0.000652,0.0167364,0.0392229
incremental,small_trace,85,2218820667,0,0.000602,0.000602,0.0173551,0.0321006
incremental,small_trace,86,2326845291,0,0.000603,0.000603,0.017099,0.198043
incremental,small_trace,87,2430254342,0,0.000632,0.000632,0.017531,0.0423824
incremental,small_trace,88,2430254974,0,0.00111,0.000681,0.0175795,0.0369018
incremental,small_trace,89,2491248546,0,0.000602,0.000602,0.0173884,0.0934811
incremental,small_trace,90,2639241405,0,0.000679,0.000679,0.01764,0.121724
incremental,small_trace,91,2639242084,0,0.001469,0.00091,0.0178727,0.0374632
incremental,small_trace,92,2639242994,0,0.002103,0.001212,0.018957,0.0355268
incremental,small_trace,93,2737757904,0,0.000559,0.000559,0.0174221,0.0794136
incremental,small_trace,94,2788104275,0,0.000623,0.000623,0.0177131,0.0414817
incremental,small_trace,95,2788104898,0,0.001429,0.00081,0.0175864,0.0391235
incremental,small_trace,96,2788105708,0,0.001387,0.000628,0.0177719,0.0340471
incremental,small_trace,97,2801006142,0,0.000626,0.000626,0.0174111,0.0508009
incremental,small_trace,98,2851444514,0,0.000612,0.000612,0.0177388,0.054895
incremental,small_trace,99,2851445126,0,0.001364,0.000805,0.017976,0.0381268
full,small_trace,0,0,1,0.007107,0.007107,0.0469571,18.6123
full,small_trace,1,603309032,1,0.005722,0.005722,0.0438665,0.0633841
full,small_trace,2,757955277,1,0.004883,0.004883,0.0464028,0.0981544
full,small_trace,3,757960160,1,0.010548,0.005873,0.0431673,0.0775184
full,small_trace,4,760949245,1,0.004611,0.004611,0.0444306,0.0657721
full,small_trace,5,760953856,1,0.009394,0.00483,0.0460375,0.0882837
full,small_trace,6,772013814,1,0.005013,0.005013,0.0443795,0.0982412
full,small_trace,7,772018827,1,0.010483,0.00549,0.0457198,0.0680398
full,small_trace,8,870116781,1,0.005341,0.005341,0.0444286,0.0832491
full,small_trace,9,870122122,1,0.009337,0.00415,0.0423619,0.0785689
full,small_trace,10,993518588,1,0.005853,0.005853,0.0457416,0.12843
full,small_trace,11,1107986333,1,0,0,0.0434001,0.0870717
full,small_trace,12,1107986423,1,0.005078,0.005078,0.0447085,0.0667689
full,small_trace,13,1107991501,1,0.008432,0.003708,0.0416653,0.0649554
full,small_trace,14,1119442249,1,0.005005,0.005005,0.0471989,0.0778939
full,small_trace,15,1119447254,1,0.009263,0.004276,0.0429284,0.0626529
full,small_trace,16,1135414792,1,0.006041,0.006041,0.046504,0.0689739
full,small_trace,17,1135420833,1,0.011294,0.005361,0.0432164,0.0631748
full,small_trace,18,1345888435,1,0.005975,0.005975,0.0487033,0.116549
full,small_trace,19,1372983484,1,0.004802,0.004802,0.0463329,0.0754825
full,small_trace,20,1372988286,1,0.010032,0.005337,0.0465208,0.083009
full,small_trace,21,1398938349,1,0.005699,0.005699,0.0484591,0.0948744
full,small_trace,22,1398944048,1,0.010422,0.00484,0.0479839,0.0846716
full,small_trace,23,1423337461,1,0.004478,0.004478,0.0447246,0.085595
full,small_trace,24,1423341939,1,0.010564,0.006101,0.0485496,0.105224
full,small_trace,25,1437048669,1,0.00488,0.00488,0.0449812,0.10804
full,small_trace,26,1437053549,1,0.010877,0.006199,0.0493929,0.120393
full,small_trace,27,1573781565,1,0.005574,0.005574,0.0466,0.144735
full,small_trace,28,1573787139,1,0.011479,0.006098,0.048656,0.0726261
full,small_trace,29,1585628702,1,0.00524,0.00524,0.0485284,0.078583
full,small_trace,30,1599232156,1,0.006241,0.006241,0.0479907,0.0737678
full,small_trace,31,1599238397,1,0.011131,0.005,0.0486422,0.0962568
full,small_trace,32,1701549695,1,0.005715,0.005715,0.0490806,0.113219
full,small_trace,33,1701555410,1,0.011621,0.005934,0.0482437,0.0702809
full,small_trace,34,1715626104,1,0.006241,0.006241,0.0507173,0.0836314
full,small_trace,35,1715632345,1,0.012085,0.005934,0.0483575,0.0722769
full,small_trace,36,1760607843,1,0.006299,0.006299,0.0496019,0.119587
full,small_trace,37,2018378034,1,0.00544,0.00544,0.0466339,0.156321
full,small_trace,38,2100114435,1,0.005182,0.005182,0.0480935,0.0983686
full,small_trace,39,2100119617,1,0.009407,0.004418,0.0460945,0.0825679
full,small_trace,40,2122978330,1,0.004477,0.004477,0.0441409,0.0850887
full,small_trace,41,2122982807,1,0.010742,0.006293,0.0475333,0.0734838
full,small_trace,42,2135463181,1,0.002045,0.002045,0.0464866,0.0752813
full,small_trace,43,2135465226,1,0.006383,0.004484,0.048019,0.0872712
full,small_trace,44,2135469710,1,0.0096,0.005315,0.0504418,0.0859567
full,small_trace,45,2140221305,1,0.004025,0.004025,0.0445394,0.0671548
full,small_trace,46,2140225330,1,0.00974,0.005749,0.0476108,0.0888321
full,small_trace,47,2149856512,1,0.00631,0.00631,0.0493028,0.123906
full,small_trace,48,2149862822,1,0.012671,0.006394,0.0501481,0.0889502
full,small_trace,49,2175430886,1,0.004737,0.004737,0.0501517,0.0933271
full,small_trace,50,2175435623,1,0.009443,0.004728,0.0473008,0.105491
full,small_trace,51,2199343200,1,0.004625,0.004625,0.046931,0.108724
full,small_trace,52,2199347825,1,0.010747,0.006278,0.0503132,0.106076
full,small_trace,53,2211808788,1,0.006568,0.006568,0.0514489,0.0858274
full,small_trace,54,2218820667,1,0.005383,0.005383,0.0478065,0.0744946
full,small_trace,55,2326845291,1,0.004654,0.004654,0.0482498,0.239798
full,small_trace,56,2430254342,1,0.006306,0.006306,0.0471956,0.0842523
full,small_trace,57,2430260648,1,0.012674,0.006571,0.0528651,0.083957
full,small_trace,58,2491248546,1,0.006584,0.006584,0.0518732,0.140042
full,small_trace,59,2639241405,1,0.006441,0.006441,0.0500723,0.165822
full,small_trace,60,2639247846,1,0.011317,0.004996,0.0496719,0.0884691
full,small_trace,61,2737757904,1,0.009007,0.009007,0.0544834,0.128294
full,small_trace,62,2788104275,1,0.005247,0.005247,0.0491132,0.0845855
full,small_trace,63,2788109522,1,0.011331,0.006088,0.0527178,0.0928085
full,small_trace,64,2801006142,1,0.002024,0.002024,0.0516022,0.0968125
full,small_trace,65,2851444514,1,0.005662,0.005662,0.0516453,0.100865
full,small_trace,66,2851450176,1,0.010999,0.00539,0.0529474,0.0918722
full,small_trace,67,3073942566,1,0.007447,0.007447,0.0521135,0.196205
full,small_trace,68,3094321339,1,0.004314,0.004314,0.0503417,0.0935126
full,small_trace,69,3094325653,1,0.010109,0.005812,0.0499884,0.0738378
full,small_trace,70,3238164741,1,0.006302,0.006302,0.0514735,0.118334
full,small_trace,71,3238171043,1,0.012684,0.006402,0.055523,0.09751
full,small_trace,72,3261531764,1,0.006937,0.006937,0.0522567,0.0946503
full,small_trace,73,3275426621,1,0.005638,0.005638,0.0531141,0.0799476
full,small_trace,74,3410842431,1,0.00489,0.00489,0.0488883,0.0916324
full,small_trace,75,3410847321,1,0.011353,0.006541,0.0529626,0.0934202
full,small_trace,76,3525978000,1,0.006565,0.006565,0.0512953,0.12287
full,small_trace,77,3525984565,1,0.011396,0.00491,0.0511195,0.0908126
full,small_trace,78,3549872977,1,0.003748,0.003748,0.0505919,0.09597
full,small_trace,79,3549876725,1,0.009009,0.005414,0.0499637,0.0885745
full,small_trace,80,3851600274,1,0.005568,0.005568,0.0536963,0.139985
full,small_trace,81,3851605842,1,0.009925,0.004378,0.0507289,0.0907184
full,small_trace,82,3938008735,1,0.006653,0.006653,0.052979,0.106896
full,small_trace,83,3938015388,1,0.01305,0.006516,0.0534649,0.09253
full,small_trace,84,3986760257,1,0.00634,0.00634,0.0514246,0.0985524
full,small_trace,85,4051795348,1,0.006468,0.006468,0.053932,0.117039
full,small_trace,86,4051801816,1,0.01154,0.005294,0.0552059,0.0786003
full,small_trace,87,4186659991,1,0.007162,0.007162,0.0552527,0.113139
full,small_trace,88,4186667153,1,0.012463,0.005374,0.0536822,0.0935774
full,small_trace,89,4205531591,1,0.001802,0.001802,0.0536943,0.0998067
full,small_trace,90,4205533393,1,0.006018,0.004416,0.0520842,0.0818339
full,small_trace,91,4223090119,1,0.006949,0.006949,0.0535395,0.0958999
full,small_trace,92,4223097068,1,0.011901,0.005456,0.0542704,0.0912956
full,small_trace,93,4277981577,1,0.005967,0.005967,0.0522197,0.104754
full,small_trace,94,4314340664,1,0.007277,0.007277,0.0473471,0.0771515
full,small_trace,95,4314347941,1,0.012609,0.005414,0.0517995,0.0770215
full,small_trace,96,4365068132,1,0.007232,0.007232,0.0531289,0.111217
full,small_trace,97,4365075364,1,0.014309,0.007166,0.0522717,0.0859846
full,small_trace,98,4607608453,1,0.002366,0.002366,0.0533517,0.154598
full,small_trace,99,4839387809,1,0.005779,0.005779,0.0527011,0.121359
incremental,small_trace,0,0,1,0.121074,0.121074,0.163297,18.7877
incremental,small_trace,1,121074,1,0,0.012677,0.0292311,0.0392535
incremental,small_trace,2,757955277,1,0.003264,0.003264,0.0209599,0.0633157
incremental,small_trace,3,757958541,1,0.004088,0.001032,0.0179633,0.0420851
incremental,small_trace,4,760949245,1,0.000576,0.000576,0.0154992,0.0264246
incremental,small_trace,5,760949821,1,0.001607,0.001078,0.0161811,0.0372446
incremental,small_trace,6,760950899,1,0.001609,0.000729,0.0153574,0.0293979
incremental,small_trace,7,772013814,1,0.000557,0.000557,0.0155153,0.0649421
incremental,small_trace,8,772014371,1,0.00112,0.000583,0.015577,0.0272239
incremental,small_trace,9,870116781,1,0.000594,0.000594,0.0153584,0.0439138
incremental,small_trace,10,870117375,1,0.000974,0.000534,0.0150402,0.0298204
incremental,small_trace,11,870117909,1,0.001036,0.000766,0.0156891,0.0295178
incremental,small_trace,12,870118675,1,0.001131,0.000699,0.0153407,0.0299497
incremental,small_trace,13,993518588,1,0.00056,0.00056,0.0154333,0.0887908
incremental,small_trace,14,1107986333,1,0.000559,0.000559,0.0155248,0.0490917
incremental,small_trace,15,1107986892,1,0.000981,0.000512,0.0156077,0.0283905
